tag;hash;date;message;author;builds
"v1.3.2";"55e4ba8";"Wed Jun 13 16:34:26 2018 +0200";"Fix the deploy builds script.";"Adrien Cassagne";"aff3ct_master_linux_gcc_avx2_55e4ba8.zip,aff3ct_master_linux_gcc_sse4_2_55e4ba8.zip,aff3ct_master_macos_clang_sse4_2_55e4ba8.zip,aff3ct_master_windows_gcc_sse4_2_55e4ba8.zip"
"v1.3.2";"156a942";"Wed Jun 13 18:49:23 2018 +0200";"Rename 'mac-osx' in 'macos' + add the builds list in the CSV for the web site.";"Adrien Cassagne";"aff3ct_master_windows_gcc_sse4_2_156a942.zip,aff3ct_master_linux_gcc_sse4_2_156a942.zip,aff3ct_master_linux_gcc_avx2_156a942.zip,aff3ct_master_macos_clang_sse4_2_156a942.zip"
"v1.3.2";"f784cd1";"Wed Jun 13 23:13:52 2018 +0200";"Fix the deploy builds script.";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_f784cd1.zip,aff3ct_master_linux_gcc_avx2_f784cd1.zip,aff3ct_master_windows_gcc_sse4_2_f784cd1.zip,aff3ct_master_macos_clang_sse4_2_f784cd1.zip"
"v1.3.2";"bc27582";"Thu Jun 14 15:30:38 2018 +0200";"Fix a bug in alignment control.";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_bc27582.zip,aff3ct_master_linux_gcc_avx2_bc27582.zip,aff3ct_master_windows_gcc_sse4_2_bc27582.zip,aff3ct_master_macos_clang_sse4_2_bc27582.zip"
"v1.3.2";"d4bb66c";"Thu Jun 14 17:49:28 2018 +0200";"Try to fix the git-branch.sh script for real...";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_d4bb66c.zip,aff3ct_master_linux_gcc_avx2_d4bb66c.zip,aff3ct_master_windows_gcc_sse4_2_d4bb66c.zip,aff3ct_master_macos_clang_sse4_2_d4bb66c.zip"
"v1.3.2";"1a21aa2";"Fri Jun 15 18:09:59 2018 +0200";"Merge branch 'master' of gitlab.inria.fr:fec/aff3ct";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_1a21aa2.zip,aff3ct_master_linux_gcc_avx2_1a21aa2.zip,aff3ct_master_windows_gcc_sse4_2_1a21aa2.zip,aff3ct_master_macos_clang_sse4_2_1a21aa2.zip"
"v1.3.2";"e29c7df";"Mon Jun 18 11:38:27 2018 +0200";"Fix the Polar ASCL decoder in partial adaptive mode.";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_e29c7df.zip,aff3ct_master_linux_gcc_avx2_e29c7df.zip,aff3ct_master_windows_gcc_sse4_2_e29c7df.zip,aff3ct_master_macos_clang_sse4_2_e29c7df.zip"
"v1.3.2";"e5e88b6";"Thu Jun 21 20:16:47 2018 +0200";"CI: put back devenv instead of msbuild for MSVC builds.";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_e5e88b6.zip,aff3ct_master_linux_gcc_avx2_e5e88b6.zip,aff3ct_master_windows_gcc_sse4_2_e5e88b6.zip,aff3ct_master_macos_clang_sse4_2_e5e88b6.zip"
"v1.3.2";"ada8925";"Fri Jun 22 10:49:16 2018 +0200";"Up. MIPP.";"Adrien Cassagne";"aff3ct_master_linux_gcc_sse4_2_ada8925.zip,aff3ct_master_linux_gcc_avx2_ada8925.zip,aff3ct_master_windows_gcc_sse4_2_ada8925.zip,aff3ct_master_macos_clang_sse4_2_ada8925.zip"
"v1.3.2";"13c3c5c";"Tue Jun 26 19:13:07 2018 +0200";"CI: force the 32-bit build on 32-bit Windows with MinGW.";"Adrien Cassagne";"aff3ct_master_linux_gcc_x64_sse4_2_13c3c5c.zip,aff3ct_master_linux_gcc_x64_avx2_13c3c5c.zip,aff3ct_master_windows_gcc_x86_sse4_2_13c3c5c.zip,aff3ct_master_windows_gcc_x64_avx2_13c3c5c.zip,aff3ct_master_macos_clang_x64_sse4_2_13c3c5c.zip"
"v1.3.2";"42b2bb9";"Wed Jun 27 11:49:42 2018 +0200";"Unlock the 64-bit computations on 32-bit CPUs.";"Adrien Cassagne";"aff3ct_master_linux_gcc_x64_sse4_2_42b2bb9.zip,aff3ct_master_linux_gcc_x64_avx2_42b2bb9.zip,aff3ct_master_windows_gcc_x86_sse4_2_42b2bb9.zip,aff3ct_master_windows_gcc_x64_avx2_42b2bb9.zip,aff3ct_master_macos_clang_x64_sse4_2_42b2bb9.zip"
"v1.3.2";"3c1eada";"Wed Jun 27 17:24:13 2018 +0200";"CI: automatically rm old builds in the web site.";"Adrien Cassagne";"aff3ct_master_linux_gcc_x64_sse4_2_3c1eada.zip,aff3ct_master_linux_gcc_x64_avx2_3c1eada.zip,aff3ct_master_windows_gcc_x86_sse4_2_3c1eada.zip,aff3ct_master_windows_gcc_x64_avx2_3c1eada.zip,aff3ct_master_macos_clang_x64_sse4_2_3c1eada.zip"
"v1.3.2";"17d2049";"Wed Jun 27 23:15:34 2018 +0200";"CI: fix rm builds.";"Adrien Cassagne";"aff3ct_master_linux_gcc_x64_sse4_2_17d2049.zip,aff3ct_master_linux_gcc_x64_avx2_17d2049.zip,aff3ct_master_windows_gcc_x86_sse4_2_17d2049.zip,aff3ct_master_windows_gcc_x64_avx2_17d2049.zip,aff3ct_master_macos_clang_x64_sse4_2_17d2049.zip"
